name,email,age,gender,City,mobileNumber,customerSegment,role
Jessica Stewart,user0065@example.com,54,,Trincomalee,777447155,frequent_shoppers,user
Roshan Seneviratne,user0066@example.com,25,Female,Trincomalee,791300905,frequent_shoppers,user
Timothy Garcia,user0067@example.com,48,Female,Trincomalee,780890196,regular_shoppers,user
Roshan Burgess,user0068@example.com,54,Female,Anuradhapura,769302835,frequent_shoppers,user
Daniel Rajapaksa,user0069@example.com,55,Female,Kandy,785000490,regular_shoppers,user
Michael Rajapaksa,user0070@example.com,64,,Colombo,718557710,regular_shoppers,user
Anil Henderson,user0071@example.com,22,Male,Kurunegala,761335545,occasional_shoppers,user
Carmen Herath,user0072@example.com,42,Female,Vavuniya,782109613,occasional_shoppers,user
Connor Perera,user0073@example.com,32,Female,Gampaha,740824989,regular_shoppers,user
Patricia Brooks,user0074@example.com,35,Female,Kandy,719031632,regular_shoppers,user
Shannon Jayasinghe,user0075@example.com,,Female,,717575790,regular_shoppers,user
Joel Perera,user0076@example.com,32,Female,Ratnapura,750332555,occasional_shoppers,user
Linda Henderson,user0077@example.com,55,Female,Kalutara,761157708,frequent_shoppers,user
Sarah Rocha,user0078@example.com,44,Male,Moratuwa,717734153,regular_shoppers,user
Priya Garcia,user0079@example.com,53,Male,Ratnapura,735566010,rare_shoppers,user
Abigail Nelson,user0080@example.com,56,Female,Vavuniya,712058055,regular_shoppers,user
Rebecca Amarasinghe,user0081@example.com,65,Other,Trincomalee,784098828,occasional_shoppers,user
Lisa Seneviratne,user0082@example.com,47,Male,Kilinochchi,752980983,regular_shoppers,user
Rebecca Burgess,user0083@example.com,20,Male,Batticaloa,736332415,regular_shoppers,user
Jessica Adams,user0084@example.com,71,Female,Ratnapura,757268285,occasional_shoppers,user
Jennifer Davis,user0085@example.com,49,Female,Kandy,799686372,occasional_shoppers,user
Abigail Seneviratne,user0086@example.com,,Female,Negombo,718113477,,user
Nethmi Gunasekara,user0087@example.com,57,Female,,746875077,regular_shoppers,user
Anil Stewart,user0088@example.com,,Female,Kurunegala,793185576,frequent_shoppers,user
Sarah Nelson,user0089@example.com,35,Male,Gampaha,720820219,rare_shoppers,user
Chamara Herath,user0090@example.com,20,Male,Kandy,768238367,occasional_shoppers,user
Chamara Dissanayake,user0091@example.com,72,Female,Trincomalee,719978827,occasional_shoppers,user
Sunil Amarasinghe,user0092@example.com,52,Male,Ratnapura,763458386,,user
Gabrielle Stewart,user0093@example.com,33,Female,Vavuniya,720526386,occasional_shoppers,user
Cynthia De Silva,user0094@example.com,21,Male,Nuwara Eliya,770471823,regular_shoppers,user
Kevin Adams,user0095@example.com,42,Female,Galle,721010955,regular_shoppers,user
Linda Davis,user0096@example.com,68,Female,Jaffna,746207439,rare_shoppers,user
Shannon Davis,user0097@example.com,45,Female,Colombo,711656329,regular_shoppers,user
David Garcia,user0098@example.com,23,Female,Trincomalee,746093692,frequent_shoppers,user
Kim Nelson,user0099@example.com,22,Male,Galle,736246038,rare_shoppers,user
Michael Shaffer,user0100@example.com,18,Male,Ratnapura,790961645,regular_shoppers,user
Kumari Ray,user0101@example.com,29,Other,Moratuwa,762738860,occasional_shoppers,user
Timothy Shaffer,user0102@example.com,30,Female,Vavuniya,738138531,,user
Carmen Dissanayake,user0103@example.com,62,Female,Moratuwa,766791272,regular_shoppers,user
Victoria Santos,user0104@example.com,56,Male,Kalutara,782062301,occasional_shoppers,user
Sachini Gunasekara,user0105@example.com,24,Female,Kandy,754506155,regular_shoppers,user
Tammy Shaffer,user0106@example.com,,Female,Trincomalee,713296743,regular_shoppers,user
Lauren Shaffer,user0107@example.com,23,Female,Matara,773909453,occasional_shoppers,user
Shannon Brooks,user0108@example.com,46,Male,Jaffna,732059232,,user
Thilini Adams,user0109@example.com,53,Female,Trincomalee,768000104,regular_shoppers,user
Connor Hill,user0110@example.com,74,Female,Anuradhapura,782060023,occasional_shoppers,user
Kimberly Burgess,user0111@example.com,47,Female,Ratnapura,771453007,regular_shoppers,user
Nethmi Herrera,user0112@example.com,63,Female,Negombo,728972822,regular_shoppers,user
Cynthia Hicks,user0113@example.com,26,Male,Vavuniya,775718640,regular_shoppers,user
David Davis,user0114@example.com,71,Male,Colombo,777838742,frequent_shoppers,user
Chamara Peterson,user0115@example.com,49,Female,Galle,746890134,occasional_shoppers,user
Tricia Silva,user0116@example.com,67,Female,Vavuniya,759239353,regular_shoppers,user
Anil Bandara,user0117@example.com,66,Female,Jaffna,714325890,occasional_shoppers,user
Carmen Nelson,user0118@example.com,70,Female,Trincomalee,791907952,occasional_shoppers,user
Tharaka Garcia,user0119@example.com,26,Female,Badulla,749276764,regular_shoppers,user
David Fernando,user0120@example.com,72,Female,Negombo,798032908,occasional_shoppers,user
Joel Wickramasinghe,user0121@example.com,33,Male,Nuwara Eliya,760354777,regular_shoppers,user
Carmen Santos,user0122@example.com,74,Male,Badulla,722501261,regular_shoppers,user
Isuru Brooks,user0123@example.com,62,Male,Anuradhapura,748063218,occasional_shoppers,user
Jessica Silva,user0124@example.com,54,Female,Kandy,731204188,,user
Carmen Brooks,user0125@example.com,,Male,Negombo,758376818,regular_shoppers,user
Mark Santos,user0126@example.com,75,Male,Trincomalee,773995913,frequent_shoppers,user
Gabrielle Davis,user0127@example.com,51,Male,Jaffna,740728728,regular_shoppers,user
Victoria Santos,user0128@example.com,24,Male,Nuwara Eliya,729173414,occasional_shoppers,user
Gabrielle Perera,user0129@example.com,57,Male,Negombo,721635070,regular_shoppers,user
Shannon Davis,user0130@example.com,55,Male,Negombo,790531692,regular_shoppers,user
Isuru Jayasinghe,user0131@example.com,62,,Matara,749666982,regular_shoppers,user
Chamara Henderson,user0132@example.com,68,Female,Moratuwa,752476240,frequent_shoppers,user
Joel Hicks,user0133@example.com,54,Female,Moratuwa,711851322,occasional_shoppers,user
Mark Ray,user0134@example.com,,Female,Kilinochchi,782016510,regular_shoppers,user
Anil Jayasinghe,user0135@example.com,23,Female,Negombo,768718382,regular_shoppers,user
Isuru Herath,user0136@example.com,33,Male,Kandy,728416255,occasional_shoppers,user
Kumari Hill,user0137@example.com,40,Female,Kurunegala,725845304,occasional_shoppers,user
Angie Rocha,user0138@example.com,35,Male,Galle,786086168,regular_shoppers,user
Jennifer Burgess,user0139@example.com,67,Female,Trincomalee,773319171,frequent_shoppers,user
Timothy Hicks,user0140@example.com,29,Female,Kalutara,720453825,regular_shoppers,user
Kavinda Burgess,user0141@example.com,61,Male,Kandy,751701149,frequent_shoppers,user
Lisa Santos,user0142@example.com,18,Male,Trincomalee,736229153,regular_shoppers,user
Isuru Wijesinghe,user0143@example.com,68,Male,Trincomalee,710196231,regular_shoppers,user
Buddhika Rajapaksa,user0144@example.com,65,Male,Trincomalee,722485824,rare_shoppers,user
Cristian Amarasinghe,user0145@example.com,72,Female,Galle,786211608,regular_shoppers,user
Abigail Garcia,user0146@example.com,26,Male,Nuwara Eliya,741354768,occasional_shoppers,user
Gabrielle Ray,user0147@example.com,67,Male,Gampaha,737868462,frequent_shoppers,user
Carmen Stewart,user0148@example.com,72,Male,Kandy,743315361,occasional_shoppers,user
Crystal Hicks,user0149@example.com,61,Female,Nuwara Eliya,723677772,regular_shoppers,user
Joel Shaffer,user0150@example.com,,Other,Nuwara Eliya,744738319,regular_shoppers,user
Gabrielle Hill,user0151@example.com,30,Male,Ratnapura,787025433,rare_shoppers,user
Tammy Bandara,user0152@example.com,49,,Kurunegala,729948970,rare_shoppers,user
Cristian Jayasinghe,user0153@example.com,33,Female,Moratuwa,796255361,regular_shoppers,user
Sarah Adams,user0154@example.com,69,Male,Badulla,777430081,occasional_shoppers,user
Lisa Hicks,user0155@example.com,19,Male,Batticaloa,788381665,rare_shoppers,user
Tricia Herrera,user0156@example.com,60,Female,Kandy,733315234,rare_shoppers,user
Kimberly Adams,user0157@example.com,69,Male,Badulla,776065552,regular_shoppers,user
Anil Stewart,user0158@example.com,20,Male,Kilinochchi,755735904,regular_shoppers,user
Roshan Herrera,user0159@example.com,72,Male,Negombo,760142505,occasional_shoppers,user
Roshan Rajapaksa,user0160@example.com,24,Male,Kalutara,785427317,rare_shoppers,user
Kumari Wijesinghe,user0161@example.com,68,Female,Nuwara Eliya,710241310,occasional_shoppers,user
Kumari Fernando,user0162@example.com,67,Male,Trincomalee,720443030,frequent_shoppers,user
Patricia Burgess,user0163@example.com,28,Other,Ratnapura,757040785,regular_shoppers,user
Mark Dissanayake,user0164@example.com,18,,Kalutara,757141449,occasional_shoppers,user
Anil Hicks,user0165@example.com,48,Female,Trincomalee,752777459,frequent_shoppers,user
Mark Shaffer,user0166@example.com,28,Male,Galle,767891237,rare_shoppers,user
Chamara Herrera,user0167@example.com,45,Male,Anuradhapura,749916439,regular_shoppers,user
Patricia Shaffer,user0168@example.com,,Female,Badulla,798854850,,user
Tharaka Jayasinghe,user0169@example.com,24,,Matara,763347164,regular_shoppers,user
Lauren Peterson,user0170@example.com,34,Female,Nuwara Eliya,745353058,regular_shoppers,user
Tricia Bandara,user0171@example.com,21,Female,Badulla,761956500,regular_shoppers,user
Sarah Garcia,user0172@example.com,61,Male,Moratuwa,779366056,regular_shoppers,user
Kavinda Rajapaksa,user0173@example.com,27,Female,Kurunegala,720518444,occasional_shoppers,user
Sunil Garcia,user0174@example.com,70,Female,Galle,779751366,regular_shoppers,user
Michael Amarasinghe,user0175@example.com,68,Female,Jaffna,785522135,frequent_shoppers,user
Shannon Dissanayake,user0176@example.com,52,Female,Moratuwa,729307578,regular_shoppers,user
Nethmi Jayasinghe,user0177@example.com,43,,Ratnapura,759988144,frequent_shoppers,user
Angie Rocha,user0178@example.com,37,Female,Jaffna,769473299,regular_shoppers,user
Lisa Nelson,user0179@example.com,56,Male,Kalutara,779158328,occasional_shoppers,user
Jennifer Santos,user0180@example.com,50,Female,Colombo,743486016,occasional_shoppers,user
Cristian Brooks,user0181@example.com,41,Male,Kilinochchi,775603845,rare_shoppers,user
Sachini Brooks,user0182@example.com,73,Female,Batticaloa,716664050,occasional_shoppers,user
Jennifer Herath,user0183@example.com,31,Female,Batticaloa,727758896,regular_shoppers,user
Chamara Herrera,user0184@example.com,18,Female,Batticaloa,739287523,regular_shoppers,user
Michael Stewart,user0185@example.com,70,Female,,789694801,rare_shoppers,user
Sachini Stewart,user0186@example.com,24,Male,Ratnapura,779429969,regular_shoppers,user
Buddhika Adams,user0187@example.com,69,Female,Ratnapura,744819604,occasional_shoppers,user
Angela Hicks,user0188@example.com,20,Other,Ratnapura,773852097,regular_shoppers,user
Nimal Burgess,user0189@example.com,72,Female,Matara,785031958,frequent_shoppers,user
Buddhika Amarasinghe,user0190@example.com,61,Female,Trincomalee,788593968,regular_shoppers,user
David Brooks,user0191@example.com,48,Female,Galle,761226775,frequent_shoppers,user
Sarah Stewart,user0192@example.com,73,Male,Kalutara,734207075,occasional_shoppers,user
Monica Peterson,user0193@example.com,29,Male,Anuradhapura,721816709,frequent_shoppers,user
Joel Jayasinghe,user0194@example.com,45,Other,Kandy,781274148,occasional_shoppers,user
Zachary Hill,user0195@example.com,58,Male,Matara,716136213,regular_shoppers,user
Kim Stewart,user0196@example.com,51,Male,Negombo,732130289,rare_shoppers,user
Connor Hill,user0197@example.com,64,Male,,795942441,frequent_shoppers,user
Mark Seneviratne,user0198@example.com,21,Male,Colombo,761036796,,user
Daniel Silva,user0199@example.com,62,Female,Matara,791286864,frequent_shoppers,user
Kumari Davis,user0200@example.com,75,Female,Jaffna,780215481,regular_shoppers,user
Zachary Burgess,user0201@example.com,36,Female,Moratuwa,787061479,frequent_shoppers,user
Nimal Peterson,user0202@example.com,23,Male,Batticaloa,716721650,regular_shoppers,user
Shannon Bandara,user0203@example.com,20,Male,Kalutara,728574987,frequent_shoppers,user
Nimal Gunasekara,user0204@example.com,40,Female,Galle,771275585,regular_shoppers,user
Linda Bandara,user0205@example.com,72,Male,Kurunegala,731393688,occasional_shoppers,user
Shannon Garcia,user0206@example.com,48,Female,Nuwara Eliya,775514730,regular_shoppers,user
Daniel Wijesinghe,user0207@example.com,20,Female,,799904987,regular_shoppers,user
Jessica Perera,user0208@example.com,62,Male,Moratuwa,784939694,occasional_shoppers,user
Nethmi Henderson,user0209@example.com,,Female,Moratuwa,754411953,frequent_shoppers,user
Linda Henderson,user0210@example.com,53,Male,Gampaha,770004467,regular_shoppers,user
Lisa Shaffer,user0211@example.com,65,Male,Vavuniya,785475000,occasional_shoppers,user
Rebecca Gunasekara,user0212@example.com,39,Male,Gampaha,758760568,occasional_shoppers,user
Roshan Brooks,user0213@example.com,66,Male,Matara,732032560,regular_shoppers,user
Kevin Davis,user0214@example.com,65,Male,Anuradhapura,735579048,occasional_shoppers,user
Roshan Rocha,user0215@example.com,44,,Jaffna,776951647,regular_shoppers,user
Allison Perera,user0216@example.com,53,Female,Kilinochchi,727231111,rare_shoppers,user
Shannon Hicks,user0217@example.com,56,Female,Trincomalee,727900864,rare_shoppers,user
Joel Garcia,user0218@example.com,74,Male,Ratnapura,793774355,rare_shoppers,user
Roshan Stewart,user0219@example.com,61,Female,Kurunegala,757276557,occasional_shoppers,user
Priya Peterson,user0220@example.com,60,Female,Vavuniya,713391969,occasional_shoppers,user
Victoria Davis,user0221@example.com,21,Female,Matara,749613096,frequent_shoppers,user
Rebecca Seneviratne,user0222@example.com,40,Male,Vavuniya,748606206,occasional_shoppers,user
Kumari Rajapaksa,user0223@example.com,,Male,Ratnapura,769467023,frequent_shoppers,user
Tricia Amarasinghe,user0224@example.com,63,Female,Anuradhapura,719995059,rare_shoppers,user
Kimberly Herrera,user0225@example.com,25,Male,Negombo,730777669,occasional_shoppers,user
Cristian Davis,user0226@example.com,56,Female,Matara,752662313,regular_shoppers,user
Sarah Adams,user0227@example.com,51,Female,Vavuniya,754434998,regular_shoppers,user
Timothy Stewart,user0228@example.com,66,Male,Colombo,792369566,regular_shoppers,user
Nethmi Adams,user0229@example.com,61,Male,Jaffna,779372824,regular_shoppers,user
Timothy Perera,user0230@example.com,46,Male,Ratnapura,782205759,rare_shoppers,user
Anil Hill,user0231@example.com,31,Female,Kalutara,719679848,regular_shoppers,user
Thilini Rajapaksa,user0232@example.com,47,Male,Kurunegala,764711545,regular_shoppers,user
Victoria Brooks,user0233@example.com,45,Male,Colombo,719742790,regular_shoppers,user
Crystal Amarasinghe,user0234@example.com,36,Male,Gampaha,781600831,occasional_shoppers,user
Tricia Davis,user0235@example.com,68,Female,Negombo,711496555,occasional_shoppers,user
Priya Herath,user0236@example.com,25,,Nuwara Eliya,756150987,rare_shoppers,user
Rebecca Garcia,user0237@example.com,72,Male,Batticaloa,783665549,frequent_shoppers,user
Michael Gunasekara,user0238@example.com,36,Male,Moratuwa,793150000,regular_shoppers,user
Gabrielle Wijesinghe,user0239@example.com,49,Female,Negombo,732634412,regular_shoppers,user
Allison Rocha,user0240@example.com,32,Female,Badulla,758149482,occasional_shoppers,user
Kim Peterson,user0241@example.com,29,Male,Negombo,712500515,frequent_shoppers,user
Cynthia Gunasekara,user0242@example.com,,Male,Kandy,729949181,regular_shoppers,user
Timothy Hicks,user0243@example.com,67,Female,Kilinochchi,742062038,regular_shoppers,user
Nethmi Rajapaksa,user0244@example.com,50,Male,Negombo,775450221,regular_shoppers,user
Tricia Santos,user0245@example.com,32,,Badulla,797043518,rare_shoppers,user
Lisa Shaffer,user0246@example.com,51,Male,Vavuniya,797689346,regular_shoppers,user
Gabrielle Perera,user0247@example.com,32,Male,Moratuwa,728652010,occasional_shoppers,user
Carmen Herrera,user0248@example.com,50,Male,Badulla,754322017,occasional_shoppers,user
Isuru Shaffer,user0249@example.com,48,Female,Kalutara,789503557,,user
Jennifer Davis,user0250@example.com,20,Male,Kurunegala,798817918,regular_shoppers,user
David Santos,user0251@example.com,56,Female,Kalutara,778559074,occasional_shoppers,user
Mark Herrera,user0252@example.com,39,Female,Nuwara Eliya,777693989,frequent_shoppers,user
Sunil Garcia,user0253@example.com,56,Male,Kandy,798502178,regular_shoppers,user
Joel Wijesinghe,user0254@example.com,70,,Kalutara,767573535,regular_shoppers,user
Tricia Dissanayake,user0255@example.com,67,Female,Jaffna,721249805,regular_shoppers,user
David Jayasinghe,user0256@example.com,44,Male,Colombo,737570830,frequent_shoppers,user
Kumari Dissanayake,user0257@example.com,41,Male,Batticaloa,763345392,regular_shoppers,user
Buddhika Ray,user0258@example.com,68,Male,Moratuwa,763436070,regular_shoppers,user
Thilini Davis,user0259@example.com,60,Male,Kurunegala,792413089,regular_shoppers,user
Kumari Rajapaksa,user0260@example.com,28,Female,Negombo,739765498,regular_shoppers,user
Timothy Santos,user0261@example.com,64,Other,Kilinochchi,733524492,rare_shoppers,user
Tharaka Peterson,user0262@example.com,30,Female,Anuradhapura,741094351,,user
Nethmi Herrera,user0263@example.com,41,Male,Batticaloa,736885204,regular_shoppers,user
Sarah Hill,user0264@example.com,22,Female,Vavuniya,736108729,regular_shoppers,user
Michael Amarasinghe,user0265@example.com,18,Male,Galle,744587020,regular_shoppers,user
Anil Bandara,user0266@example.com,34,Other,Trincomalee,788762521,rare_shoppers,user
Angie Peterson,user0267@example.com,22,Female,Trincomalee,711305024,regular_shoppers,user
Kumari Bandara,user0268@example.com,36,Female,Galle,787002404,frequent_shoppers,user
Linda Herrera,user0269@example.com,61,Male,Trincomalee,743513553,occasional_shoppers,user
Nethmi Burgess,user0270@example.com,24,Male,Moratuwa,759821155,occasional_shoppers,user
Nethmi Rocha,user0271@example.com,74,Female,Kilinochchi,766797703,regular_shoppers,user
Lauren Silva,user0272@example.com,,Female,Gampaha,711129926,occasional_shoppers,user
Allison Rajapaksa,user0273@example.com,55,Male,Kurunegala,756049627,regular_shoppers,user
Timothy Herrera,user0274@example.com,31,Female,Nuwara Eliya,740677709,frequent_shoppers,user
Shannon De Silva,user0275@example.com,33,Female,Negombo,794644676,frequent_shoppers,user
Sarah Silva,user0276@example.com,68,Male,Kandy,744130183,occasional_shoppers,user
Lauren Bandara,user0277@example.com,46,Male,Vavuniya,757122567,regular_shoppers,user
Sunil Jayasinghe,user0278@example.com,54,Female,Matara,769985944,occasional_shoppers,user
Monica Hicks,user0279@example.com,47,Male,Ratnapura,719575640,regular_shoppers,user
Monica Herrera,user0280@example.com,38,Male,Nuwara Eliya,779918804,regular_shoppers,user
Carmen Garcia,user0281@example.com,72,,Batticaloa,763290556,occasional_shoppers,user
Shannon Shaffer,user0282@example.com,74,Male,Kilinochchi,721316066,frequent_shoppers,user
Chamara Amarasinghe,user0283@example.com,37,Female,Negombo,757894420,occasional_shoppers,user
Lisa Herath,user0284@example.com,73,Male,Vavuniya,795836028,regular_shoppers,user
Anil Stewart,user0285@example.com,48,Female,Badulla,728293937,frequent_shoppers,user
Crystal Stewart,user0286@example.com,18,Female,Matara,790128487,,user
Tricia Dissanayake,user0287@example.com,,Male,Nuwara Eliya,739607414,occasional_shoppers,user
Mark Santos,user0288@example.com,33,Female,Batticaloa,719189076,occasional_shoppers,user
Kimberly Davis,user0289@example.com,58,Male,Moratuwa,712970357,frequent_shoppers,user
Kimberly Shaffer,user0290@example.com,26,Female,Negombo,751819114,,user
Kevin Burgess,user0291@example.com,68,,Negombo,734374441,occasional_shoppers,user
Zachary Wijesinghe,user0292@example.com,70,Male,Trincomalee,714497675,rare_shoppers,user
Zachary Brooks,user0293@example.com,24,Other,Matara,783763371,frequent_shoppers,user
Sarah Shaffer,user0294@example.com,58,Male,Anuradhapura,732462726,regular_shoppers,user
Linda Fernando,user0295@example.com,68,Other,Moratuwa,777098020,frequent_shoppers,user
Monica Rajapaksa,user0296@example.com,66,Male,Vavuniya,784940527,frequent_shoppers,user
Chamara Seneviratne,user0297@example.com,75,Male,Badulla,768720256,regular_shoppers,user
Priya Stewart,user0298@example.com,49,Male,Gampaha,730807167,occasional_shoppers,user
Carmen Stewart,user0299@example.com,52,Male,Nuwara Eliya,742049389,occasional_shoppers,user
Lisa De Silva,user0300@example.com,52,Male,Vavuniya,724826245,regular_shoppers,user
Shannon Perera,user0301@example.com,20,Male,Anuradhapura,762156850,frequent_shoppers,user
Nimal Peterson,user0302@example.com,62,Male,Galle,720731620,,user
Michael Dissanayake,user0303@example.com,41,Female,Badulla,719447334,frequent_shoppers,user
Kim Santos,user0304@example.com,51,Female,Anuradhapura,784912498,occasional_shoppers,user
Angela De Silva,user0305@example.com,58,Female,Kalutara,777738718,frequent_shoppers,user
Jessica Rajapaksa,user0306@example.com,56,Male,Ratnapura,753412847,regular_shoppers,user
Sachini Adams,user0307@example.com,31,Female,Badulla,714652375,regular_shoppers,user
David Jayasinghe,user0308@example.com,,Female,,747038339,regular_shoppers,user
Priya Perera,user0309@example.com,54,Male,Negombo,750305910,occasional_shoppers,user
Monica Fernando,user0310@example.com,31,Female,Kurunegala,750318100,occasional_shoppers,user
Cristian De Silva,user0311@example.com,42,Male,Badulla,740429530,regular_shoppers,user
Thilini Gunasekara,user0312@example.com,18,Female,Kilinochchi,739634895,,user
Andrew Henderson,user0313@example.com,43,Female,Galle,755119729,regular_shoppers,user
Monica Peterson,user0314@example.com,21,Male,Kalutara,736589676,frequent_shoppers,user
Kevin Hicks,user0315@example.com,30,Other,Trincomalee,787311859,occasional_shoppers,user
Monica Shaffer,user0316@example.com,45,Male,Colombo,769352435,frequent_shoppers,user
Nethmi Davis,user0317@example.com,70,Female,Galle,748612439,frequent_shoppers,user
Allison Rocha,user0318@example.com,25,Male,Vavuniya,793623280,regular_shoppers,user
Isuru Davis,user0319@example.com,60,,Kilinochchi,736936968,,user
Kumari Jayasinghe,user0320@example.com,47,Male,Batticaloa,712560649,rare_shoppers,user
David Herath,user0321@example.com,42,Male,Jaffna,736692577,regular_shoppers,user
Cynthia Brooks,user0322@example.com,63,,Kilinochchi,757232974,regular_shoppers,user
Crystal Gunasekara,user0323@example.com,50,Male,Nuwara Eliya,747606981,occasional_shoppers,user
Tricia Davis,user0324@example.com,43,Male,Trincomalee,791251236,regular_shoppers,user
Jessica Brooks,user0325@example.com,31,Female,Anuradhapura,767722252,regular_shoppers,user
Andrew Gunasekara,user0326@example.com,28,Female,Jaffna,752773504,occasional_shoppers,user
Angela Garcia,user0327@example.com,65,Female,Batticaloa,792138779,frequent_shoppers,user
Nethmi Nelson,user0328@example.com,57,Male,Badulla,791163038,occasional_shoppers,user
